datetime_utc_from,datetime_utc_to,value,parameter,units,coverage_pct,observed_count,expected_count,avg,min,max
2017-06-29T22:00:00Z,2017-06-30T22:00:00Z,2.49,pm10,µg/m³,92.0,22,24,2.4913636363636362,0.53,5.98
2017-06-30T22:00:00Z,2017-07-01T22:00:00Z,10.8,pm10,µg/m³,83.0,20,24,10.754,2.1,27.85
2017-07-01T22:00:00Z,2017-07-02T22:00:00Z,10.1,pm10,µg/m³,88.0,21,24,10.055238095238096,4.7,14.45
2017-07-02T22:00:00Z,2017-07-03T22:00:00Z,7.15,pm10,µg/m³,83.0,20,24,7.146500000000001,0.03,16.2
2017-07-03T22:00:00Z,2017-07-04T22:00:00Z,9.14,pm10,µg/m³,17.0,4,24,9.1375,7.05,11.9
2017-07-04T22:00:00Z,2017-07-05T22:00:00Z,21.8,pm10,µg/m³,29.0,7,24,21.831428571428575,15.88,28.55
2017-07-05T22:00:00Z,2017-07-06T22:00:00Z,19.1,pm10,µg/m³,92.0,22,24,19.10363636363636,9.43,30.28
2017-07-06T22:00:00Z,2017-07-07T22:00:00Z,24.9,pm10,µg/m³,54.0,13,24,24.91,16.7,33.53
2017-07-07T22:00:00Z,2017-07-08T22:00:00Z,18.4,pm10,µg/m³,100.0,24,24,18.382083333333338,6.93,44.38
2017-07-08T22:00:00Z,2017-07-09T22:00:00Z,24.4,pm10,µg/m³,71.0,17,24,24.364705882352943,8.55,58.58
2017-07-09T22:00:00Z,2017-07-10T22:00:00Z,6.47,pm10,µg/m³,100.0,24,24,6.466666666666666,1.55,11.33
2017-07-10T22:00:00Z,2017-07-11T22:00:00Z,9.53,pm10,µg/m³,54.0,13,24,9.52923076923077,6.5,14.25
2017-07-11T22:00:00Z,2017-07-12T22:00:00Z,3.3,pm10,µg/m³,8.0,2,24,3.3,3.1,3.5
2017-07-14T22:00:00Z,2017-07-15T22:00:00Z,13.0,pm10,µg/m³,50.0,12,24,13.046666666666667,9.53,19.43
2017-07-15T22:00:00Z,2017-07-16T22:00:00Z,14.7,pm10,µg/m³,100.0,24,24,14.676666666666664,5.2,33.9
2017-07-16T22:00:00Z,2017-07-17T22:00:00Z,14.6,pm10,µg/m³,83.0,20,24,14.584,9.1,20.9
2018-04-24T22:00:00Z,2018-04-25T22:00:00Z,8.32,pm10,µg/m³,92.0,22,24,8.318181818181817,4.25,16.15
2018-04-25T22:00:00Z,2018-04-26T22:00:00Z,10.9,pm10,µg/m³,92.0,22,24,10.895454545454546,7.45,17.7
2018-04-26T22:00:00Z,2018-04-27T22:00:00Z,13.6,pm10,µg/m³,83.0,20,24,13.5935,3.4,36.03
2018-04-27T22:00:00Z,2018-04-28T22:00:00Z,9.31,pm10,µg/m³,92.0,22,24,9.306818181818183,4.83,14.95
2018-04-28T22:00:00Z,2018-04-29T22:00:00Z,4.36,pm10,µg/m³,71.0,17,24,4.358235294117647,0.5,9.53
2018-04-29T22:00:00Z,2018-04-30T22:00:00Z,2.75,pm10,µg/m³,92.0,22,24,2.745,0.05,10.2
2018-04-30T22:00:00Z,2018-05-01T22:00:00Z,7.76,pm10,µg/m³,92.0,22,24,7.7640909090909105,0.08,12.93
2018-05-01T22:00:00Z,2018-05-02T22:00:00Z,8.66,pm10,µg/m³,92.0,22,24,8.662727272727272,4.3,15.85
2018-05-02T22:00:00Z,2018-05-03T22:00:00Z,10.3,pm10,µg/m³,75.0,18,24,10.253333333333336,5.93,17.18
2018-05-03T22:00:00Z,2018-05-04T22:00:00Z,14.9,pm10,µg/m³,83.0,20,24,14.863,5.38,21.45
2018-05-04T22:00:00Z,2018-05-05T22:00:00Z,21.5,pm10,µg/m³,88.0,21,24,21.543809523809525,13.3,32.33
2018-05-05T22:00:00Z,2018-05-06T22:00:00Z,20.3,pm10,µg/m³,92.0,22,24,20.283636363636365,14.08,24.33
2018-05-06T22:00:00Z,2018-05-07T22:00:00Z,12.5,pm10,µg/m³,67.0,16,24,12.466875,8.83,15.58
2018-05-07T22:00:00Z,2018-05-08T22:00:00Z,12.9,pm10,µg/m³,88.0,21,24,12.896666666666668,5.75,29.73
2018-05-08T22:00:00Z,2018-05-09T22:00:00Z,13.1,pm10,µg/m³,71.0,17,24,13.092941176470589,7.53,17.53
